region,country,gdp_per_capita_eur,population_gdp_derived,emp_female_share,emp_f_to_m_ratio,unemp_rate_f,unemp_rate_m,unemp_gap_pp,early_leavers_f,early_leavers_m,early_leavers_gap_pp,motorway_km_per_Mhab,rail_km_per_Mhab,cars_per_1000hab,road_deaths_per_Mhab,road_injuries_per_Mhab,air_pax_per_capita,gender_gap_magnitude,pop_total,pop_female_share,wa_pop_20_64,wa_female_share,old_age_dependency,emp_rate_f,emp_rate_m,emp_rate_gap_pp
SE11,Sweden,66400.0,2384565.2108433736,0.484727623225978,0.940721150745017,5.860000000000001,5.9399999999999995,-0.0799999999999983,5.0200000000000005,8.940000000000001,3.920000000000001,131.3735497479529,169.72955719848062,401.4622763175226,8.6,1468.8,7.765739755165325,-0.5303405283456092,2367295.4,0.4995771968297661,1420734.4000000001,0.4928246968610038,26.64605009915998,83.31655176649197,86.06067435752178,2.7441225910298073
SE12,Sweden,41620.0,1733310.091302259,0.47325416425831535,0.8984488004389246,7.5200000000000005,7.88,-0.35999999999999943,6.0,8.62,2.619999999999999,343.27647117824273,1048.6359026557548,482.1496234987314,25.0,1608.4,0.7992757876436258,-0.5516261572209623,1722809.6,0.4968976258316647,963142.2,0.4888783816138469,37.19849467710999,76.51116235547171,81.45318097646313,4.942018620991419
SE21,Sweden,41480.0,873019.1899710704,0.4599114862083161,0.8515483563601713,6.1,5.18,0.9199999999999999,6.0,12.0,6.0,229.0671740063319,1315.236949847411,537.3008842223135,32.6,1873.8,0.736468230800257,0.5483670816755873,868740.8,0.49377512832366105,472308.5999999999,0.4834237614983085,41.23223671980566,78.28308044841305,86.03044305473242,7.747362606319371
SE22,Sweden,41600.0,1543523.3653846155,0.4742100440424462,0.9019001574094895,9.14,8.66,0.4800000000000004,6.249999999999999,6.960000000000001,0.7100000000000017,244.88162859967198,584.2492501396113,484.2841122128684,24.0,2016.8,1.1002079343472224,-0.906233621490872,1534619.0,0.4996161262176475,866081.7999999999,0.4930543512171714,35.47701845252955,75.13838755259054,81.02831435779095,5.889926805200403
SE23,Sweden,46660.0,2066373.253321903,0.47160789001793185,0.8925339366515836,6.18,5.800000000000001,0.379999999999999,7.119999999999999,9.82,2.700000000000001,283.81444669083555,707.3454391797325,475.81925255055717,21.4,1334.4,2.0852329347436105,-0.5081779225241362,2054159.0,0.4967290263314573,1169119.0,0.4890549208421042,34.94592081729918,80.03660255273422,85.8316219015943,5.79501934886008
SE31,Sweden,39160.0,858098.2635342187,0.4675177151511873,0.8779967492889069,6.58,7.18,-0.5999999999999996,6.7,11.48,4.78,72.85300784851059,1997.8536383072326,556.6133251887408,30.8,1535.8,,0.0682797442372441,856519.2,0.49577335802863504,460645.79999999993,0.4859620992962489,44.97720374309286,77.21914584528294,83.145613781698,5.926467936415065
SE32,Sweden,41860.0,376362.4940277114,0.4697752673957457,0.8859927470534904,5.0,6.159999999999999,-1.1599999999999993,11.6,12.0,0.40000000000000036,77.14325235951948,4076.3558591630226,553.8130047562806,44.8,1799.4,1.1193751928581308,-0.617843084152814,375924.0,0.4941594577627393,202295.6,0.4847401525292691,44.497161579391744,79.72604751337944,84.65502883873717,4.928981325357725
SE33,Sweden,48900.0,523112.26993865025,0.4631731671929675,0.862798092209857,5.1,4.86,0.23999999999999932,,8.7,,11.497327637812718,3762.308847346915,536.3062612146849,40.8,1656.0,3.650018280750944,-0.7066725250282341,521860.4,0.4903184836404525,291397.8,0.478622693788354,40.56550873067676,77.82341097988379,82.80227107278307,4.978860092899282
RO11,Romania,11300.0,2540415.752212389,0.43742375313957665,0.7775368327061676,3.1,2.96,0.14000000000000012,13.48,16.68,3.1999999999999993,27.907464507797616,651.3838053848199,373.11973457878713,83.8,1616.8,0.8491730467978307,-0.14198270030959412,2544122.2,0.5119655022860143,1550017.9999999995,0.4960406911403609,29.0059986400158,63.42278038477146,80.28716782778125,16.86438744300979
RO12,Romania,11440.0,2301138.8111888114,0.41743231518764884,0.7165387405964793,3.84,5.82,-1.9800000000000004,22.059999999999995,19.660000000000004,-2.3999999999999915,68.83609605357633,588.5746298586015,370.2860061765224,82.4,1790.4,0.24838213500440323,0.732874388471444,2306929.2,0.5098954055460393,1371810.6,0.49427041896308427,31.236279993754234,55.347326299979336,75.49240002237069,20.145073722391352
