indicator,Sweden_mean,Romania_mean,difference_SE_minus_RO,mannwhitney_p
emp_female_share,0.470522169686611,0.4231904593192106,0.04733171036740036,0.010411810411810413
unemp_gap_pp,-0.022499999999999742,-0.83125,0.8087500000000003,0.32820512820512815
early_leavers_gap_pp,3.018571428571429,-0.08166666666666497,3.100238095238094,0.07284382284382285
gender_gap_magnitude,-0.40053087660622455,0.37056688307659874,-0.7710977596828232,0.006993006993006993
motorway_km_per_Mhab,173.30143421866066,49.626772179955324,123.67466203870534,0.028127428127428127
rail_km_per_Mhab,1702.8383785511771,577.9469061706621,1124.891472380515,0.04988344988344988
cars_per_1000hab,501.34098918031714,381.3743693763929,119.96661980392423,0.014763014763014764
road_deaths_per_Mhab,28.5,90.8,-62.3,0.0001554001554001554
road_injuries_per_Mhab,1661.675,1803.5749999999998,-141.89999999999986,0.23449883449883446
air_pax_per_capita,2.451844719033887,1.003307918099004,1.448536800934883,0.03787878787878788
gdp_per_capita_eur,45960.0,12487.5,33472.5,0.0001554001554001554
