indicator,Sweden_mean,Romania_mean,difference_SE_minus_RO,mannwhitney_p
pop_total,1287740.925,2413022.35,-1125281.425,0.004662004662004662
pop_female_share,0.49585580037075294,0.5120375931504011,-0.016181792779648152,0.0001554001554001554
wa_female_share,0.4870701322057883,0.49408835697653847,-0.007018224770750148,0.1605283605283605
old_age_dependency,38.19244935238322,31.473015351486072,6.719434000897149,0.010411810411810413
emp_rate_f,78.50679862678095,59.11210859823945,19.394690028541497,0.0001554001554001554
emp_rate_m,83.8758935426651,78.36257287776293,5.513320664902167,0.006993006993006993
emp_rate_gap_pp,5.369094915884144,19.25046427952347,-13.881369363639326,0.0001554001554001554
emp_female_share,0.470522169686611,0.4231904593192106,0.04733171036740036,0.010411810411810413
unemp_gap_pp,-0.022499999999999742,-0.83125,0.8087500000000003,0.32820512820512815
early_leavers_gap_pp,3.018571428571429,-0.08166666666666497,3.100238095238094,0.07284382284382285
gender_gap_magnitude,-0.40053087660622455,0.37056688307659874,-0.7710977596828232,0.006993006993006993
motorway_km_per_Mhab,174.2383572586097,49.36310823253237,124.87524902607734,0.028127428127428127
rail_km_per_Mhab,1707.71443047977,575.7276534222422,1131.986777057528,0.04988344988344988
cars_per_1000hab,503.4685924952124,380.23632915916016,123.23226333605226,0.010411810411810413
road_deaths_per_Mhab,28.5,90.8,-62.3,0.0001554001554001554
road_injuries_per_Mhab,1661.675,1803.5749999999998,-141.89999999999986,0.23449883449883446
air_pax_per_capita,2.465188302329874,1.0018143147585883,1.4633739875712857,0.03787878787878788
gdp_per_capita_eur,45960.0,12487.5,33472.5,0.0001554001554001554
