region,country,gdp_per_capita_eur,population,emp_female_share,emp_f_to_m_ratio,unemp_rate_f,unemp_rate_m,unemp_gap_pp,early_leavers_f,early_leavers_m,early_leavers_gap_pp,motorway_km_per_Mhab,rail_km_per_Mhab,cars_per_1000hab,road_deaths_per_Mhab,road_injuries_per_Mhab,air_pax_per_capita,gender_gap_magnitude
SE11,Sweden,66400.0,2384565.2108433736,0.484727623225978,0.940721150745017,5.860000000000001,5.9399999999999995,-0.0799999999999983,5.0200000000000005,8.940000000000001,3.920000000000001,130.4220989997608,168.50031954374242,398.55475357869096,8.6,1468.8,7.7094976964366655,-0.5303405283456092
SE12,Sweden,41620.0,1733310.091302259,0.47325416425831535,0.8984488004389246,7.5200000000000005,7.88,-0.35999999999999943,6.0,8.62,2.619999999999999,341.19688275493354,1042.2832066030824,479.2287336052605,25.0,1608.4,0.7944337293769759,-0.5516261572209623
SE21,Sweden,41480.0,873019.1899710704,0.4599114862083161,0.8515483563601713,6.1,5.18,0.9199999999999999,6.0,12.0,6.0,227.94458848790524,1308.7913909863341,534.6677431173853,32.6,1873.8,0.7328590337415164,0.5483670816755873
SE22,Sweden,41600.0,1543523.3653846155,0.4742100440424462,0.9019001574094895,9.14,8.66,0.4800000000000004,6.249999999999999,6.960000000000001,0.7100000000000017,243.4689415319334,580.878799833772,481.4903464806387,24.0,2016.8,1.0938609922366054,-0.906233621490872
SE23,Sweden,46660.0,2066373.253321903,0.47160789001793185,0.8925339366515836,6.18,5.800000000000001,0.379999999999999,7.119999999999999,9.82,2.700000000000001,282.1368303440672,703.1643473240646,473.00670313493345,21.4,1334.4,2.072907202565656,-0.5081779225241362
SE31,Sweden,39160.0,858098.2635342187,0.4675177151511873,0.8779967492889069,6.58,7.18,-0.5999999999999996,6.7,11.48,4.78,72.71894449826218,1994.177208740805,555.5890511145271,30.8,1535.8,,0.0682797442372441
SE32,Sweden,41860.0,376362.4940277114,0.4697752673957457,0.8859927470534904,5.0,6.159999999999999,-1.1599999999999993,11.6,12.0,0.40000000000000036,77.05337396840808,4071.606561006502,553.167765926939,44.8,1799.4,1.118071026410556,-0.617843084152814
SE33,Sweden,48900.0,523112.26993865025,0.4631731671929675,0.862798092209857,5.1,4.86,0.23999999999999932,,8.7,,11.46981316401481,3753.305194371114,535.0228164841621,40.8,1656.0,3.641283352469235,-0.7066725250282341
RO11,Romania,11300.0,2540415.752212389,0.43742375313957665,0.7775368327061676,3.1,2.96,0.14000000000000012,13.48,16.68,3.1999999999999993,27.948181292045508,652.3341695377158,373.66411351106984,83.8,1616.8,0.8504119839906353,-0.14198270030959412
RO12,Romania,11440.0,2301138.8111888114,0.41743231518764884,0.7165387405964793,3.84,5.82,-1.9800000000000004,22.059999999999995,19.660000000000004,-2.3999999999999915,69.00930931583434,590.0556686967245,371.21776219953114,82.4,1790.4,0.24900714255650552,0.732874388471444
RO21,Romania,7680.0,3201888.28125,0.42125839591998704,0.7278868374939685,4.32,3.6599999999999993,0.660000000000001,15.559999999999999,18.340000000000003,2.7800000000000047,2.49852565026936,494.5831524708198,285.9349607421597,100.4,1799.0,0.5494257904942322,0.17855063519660333
RO22,Romania,9780.0,2376000.6134969327,0.3924619408490376,0.6459874158295618,5.58,6.720000000000001,-1.1400000000000006,20.54,22.900000000000002,2.360000000000003,31.14477310302072,694.6967903222433,347.1668295514372,106.6,1831.6,0.009890569836770094,0.6177240479499828
RO31,Romania,9340.0,2885905.5674518202,0.3980246657326207,0.6611976323199816,6.5,5.5600000000000005,0.9399999999999995,18.6,14.059999999999999,-4.540000000000003,89.46931698391776,450.3958877447572,325.4254784328382,102.8,1794.6,,0.9222319534247602
RO32,Romania,28480.0,2305375.9831460672,0.4859215240758542,0.9452283004113827,2.34,4.159999999999999,-1.8199999999999994,11.2,,,36.00280414422152,129.61009491919748,596.5467715696525,47.2,2046.0,4.549453137655713,-0.01246331968278691
RO41,Romania,9480.0,1903512.2362869198,0.4171813587871983,0.7157996146435456,5.08,7.9799999999999995,-2.8999999999999995,13.180000000000001,11.925,-1.2550000000000008,0.0,521.5621844052877,351.23115431301323,106.4,1914.0,0.19259135455578008,0.9096484429550763
RO42,Romania,12400.0,1736893.7096774194,0.41581972086176144,0.7118003392294645,3.3499999999999996,3.9,-0.5500000000000003,12.066666666666668,11.350000000000001,-0.7166666666666668,140.9412669503334,1090.3373012685513,399.8078846914417,96.8,1636.2,0.622375447603392,-0.24204838339269577
