freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,F,TOTAL,AT34	164982 	167160 	169557 	171028 	171822 	172655 	173435 	174136 	174884 	175625 	176597 	177401 	178569 	179616 	180931 	182485 	183761 	184493 	185433 	186307 	186974 	187450 	188427 	189079 	190343 	191814 	193822 	195921 	197436 	198542 	200011 	200882 	201792 	204205 	205837 
A,NR,F,TOTAL,BE	5087683 	5106290 	5122765 	5144847 	5160407 	5175903 	5184262 	5198446 	5209592 	5220034 	5233071 	5245395 	5267437 	5288959 	5309245 	5334527 	5367561 	5403126 	5442557 	5484429 	5527684 	5598920 b	5635601 b	5665118 	5687048 	5713206 	5741853 	5762455 	5784371 	5810693 	5841215 	5854293 	5883978 	5946649 	5981093 
A,NR,F,TOTAL,BE1	510558 	507530 	502540 	501042 	499724 	500008 	497984 	499006 	499494 	499503 	501466 	503340 	509661 	515349 	519565 	523163 	529120 	534427 	542528 	552282 	562751 	582295 b	589404 b	596155 	600073 	605416 	611496 	611616 	614177 	618282 	621873 	622670 	623860 	635466 	641295 
A,NR,F,TOTAL,BE10	510558 	507530 	502540 	501042 	499724 	500008 	497984 	499006 	499494 	499503 	501466 	503340 	509661 	515349 	519565 	523163 	529120 	534427 	542528 	552282 	562751 	582295 b	589404 b	596155 	600073 	605416 	611496 	611616 	614177 	618282 	621873 	622670 	623860 	635466 	641295 
A,NR,F,TOTAL,BE2	2905220 	2919226 	2932631 	2947602 	2958990 	2969483 	2978229 	2988109 	2995742 	3003287 	3010741 	3017612 	3027715 	3038995 	3049384 	3063336 	3081104 	3100377 	3121644 	3144708 	3166649 	3200462 b	3220347 b	3235108 	3248700 	3264030 	3280662 	3297353 	3313318 	3331099 	3351290 	3362881 	3384991 	3425019 	3448380 
A,NR,F,TOTAL,BE21	810015 	813481 	816398 	820451 	823010 	825260 	826878 	829098 	830576 	832039 	833633 	834545 	837659 	841555 	845264 	849242 	854683 	860552 	867651 	874832 	881873 	894659 b	901723 b	907233 	911543 	916658 	921759 	926733 	931849 	936955 	942890 	945588 	950860 	964217 	972135 
A,NR,F,TOTAL,BE22	370933 	373652 	376465 	379608 	382394 	384824 	386935 	389439 	391644 	393517 	395599 	397574 	399468 	401656 	403433 	405566 	408134 	411130 	414428 	417746 	420639 	424405 b	426757 b	428628 	430222 	432143 	434332 	435961 	437528 	439303 	441541 	442777 	445734 	450472 	453132 
A,NR,F,TOTAL,BE23	676231 	678164 	680124 	682243 	683498 	684753 	686498 	688276 	689699 	690798 	691903 	692963 	694568 	696187 	697924 	701033 	705654 	710088 	714964 	720858 	726956 	734817 b	739346 b	742282 	746241 	749908 	754237 	758643 	762422 	767064 	772032 	775359 	781038 	789908 	795321 
A,NR,F,TOTAL,BE24	489422 	493318 	496517 	499765 	503081 	506593 	508852 	511583 	513564 	515559 	517267 	519462 	521745 	524422 	526559 	529579 	532982 	537079 	540913 	545264 	549209 	554984 b	558953 b	562428 	565326 	568478 	572406 	576386 	580092 	584287 	588828 	592105 	597512 	604909 	609363 
A,NR,F,TOTAL,BE25	558619 	560611 	563127 	565535 	567007 	568053 	569066 	569713 	570259 	571374 	572339 	573068 	574275 	575175 	576204 	577916 	579651 	581528 	583688 	586008 	587972 	591597 b	593568 b	594537 	595368 	596843 	597928 	599630 	601427 	603490 	605999 	607052 	609847 	615513 	618429 
