freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,F,TOTAL,NO06	189673 	190341 	191377 	191719 	192780 	193135 	193651 	194188 	194391 	195209 	196227 	197258 	198165 	199099 	200122 	201404 	202778 	204345 	206102 	208028 	210020 	213877 	215908 	218312 	220123 	222140 	223893 	225882 	227780 	229252 	230599 	231788 	233319 	235901 	238223 
A,NR,F,TOTAL,NO07	227665 	228177 	229167 	230219 	231343 	232542 	232767 	232142 	231059 	230326 	231063 	230857 	230356 	230237 	230211 	230132 	230219 	229791 	229538 	230084 	230875 	231900 	233005 	234486 	235842 	236606 	237024 	238003 	238603 	238770 	237985 	236860 	236563 	237862 	240159 
A,NR,F,TOTAL,NO08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	856676 	870470 	883360 	895957 	908821 	921231 	932361 	942674 	952794 	965030 	972317 	981135 	998046 	1011405 
A,NR,F,TOTAL,NO09	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	341333 	344282 	347082 	349656 	352112 	354469 	356680 	359026 	360717 	362076 	363949 	366390 	371664 	375932 
A,NR,F,TOTAL,NO0A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	633115 	640081 	648650 	656262 	663049 	667983 	671477 	674092 	676636 	680262 	682491 	685571 	693759 	701150 
A,NR,F,TOTAL,NO0B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 	0 
A,NR,F,TOTAL,PL	19497908 	19577208 	19647898 	19710130 	19758399 	19802557 	19823369 	19842642 	19858815 	19868726 	19715504 b	19716616 	19717034 	19711782 	19704178 	19703582 	19703200 	19698704 	19704140 	19720950 	19610632 b	19633018 	19636496 	19636442 	19613892 	19608451 	19590169 	19595127 	19596388 	19592436 	19584757 	19131216 bep	19043758 ep	18980357 ep	18914999 ep
A,NR,F,TOTAL,PL2	: 	4122379 	4140003 	4141554 	4149192 	4153757 	4155427 	4157561 	4158750 	4159282 	4116614 	4113967 	4110448 	4107477 	4108700 	4107149 	4103844 	4100569 	4099030 	4100074 	4060524 b	4065271 	4066149 	4065233 	4058853 	4057119 	4052457 	4052583 	4052728 	4051768 	4050884 	3942799 b	3924498 ep	3910438 ep	3896571 
A,NR,F,TOTAL,PL21	: 	1601769 	1608600 	1617563 	1623915 	1631686 	1636433 	1640443 	1645088 	1649873 	1651865 	1657479 	1661377 	1665745 	1674159 	1678433 	1681875 	1685289 	1689859 	1694308 	1688608 b	1695116 	1700281 	1704373 	1706936 	1711095 	1713632 	1718651 	1723519 	1728821 	1734691 	1710625 b	1709283 ep	1709118 ep	1709230 
A,NR,F,TOTAL,PL22	: 	2520610 	2531403 	2523991 	2525277 	2522071 	2518994 	2517118 	2513662 	2509409 	2464749 	2456488 	2449071 	2441732 	2434541 	2428716 	2421969 	2415280 	2409171 	2405766 	2371916 b	2370155 	2365868 	2360860 	2351917 	2346024 	2338825 	2333932 	2329209 	2322947 	2316193 	2232174 b	2215215 ep	2201320 ep	2187341 
A,NR,F,TOTAL,PL4	: 	3041207 	3056386 	3072584 	3085183 	3097627 	3105684 	3114304 	3122171 	3127720 	3105471 	3109842 	3113679 	3116339 	3119077 	3122184 	3125907 	3128803 	3133973 	3141388 	3138829 b	3145842 	3149844 	3152808 	3152303 	3153077 	3151222 	3153614 	3156005 	3157032 	3157500 	3095040 b	3083884 ep	3075310 ep	3065791 
A,NR,F,TOTAL,PL41	: 	1679540 	1687820 	1695748 	1702139 	1707636 	1711294 	1715087 	1718727 	1721277 	1718647 	1721655 	1724395 	1727078 	1729592 	1732522 	1736294 	1739582 	1744127 	1749881 	1751589 b	1757768 	1762168 	1765582 	1767403 	1770154 	1771686 	1774956 	1778900 	1782338 	1785537 	1773239 b	1771035 ep	1768946 ep	1766219 
A,NR,F,TOTAL,PL42	: 	854099 	858710 	864536 	868617 	873324 	876146 	879265 	881920 	883529 	869017 	869974 	870544 	870764 	870391 	870213 	870103 	869849 	870319 	871520 	869699 b	870037 	869772 	869168 	867724 	866295 	864227 	863326 	862375 	860728 	858947 	826518 b	820989 ep	816904 ep	812676 
A,NR,F,TOTAL,PL43	: 	507568 	509856 	512300 	514427 	516667 	518244 	519952 	521524 	522914 	517807 	518213 	518740 	518497 	519094 	519449 	519510 	519372 	519527 	519987 	517541 b	518037 	517904 	518058 	517176 	516628 	515309 	515332 	514730 	513966 	513016 	495283 b	491860 ep	489460 ep	486896 
A,NR,F,TOTAL,PL5	: 	2081503 	2087242 	2093408 	2097055 	2101053 	2101137 	2100819 	2100377 	2099134 	2065013 	2061728 	2059436 	2054902 	2049779 	2045751 	2042197 	2037798 	2034807 	2032725 	1995155 b	1994816 	1992472 	1989452 	1983162 	1980995 	1976707 	1976458 	1974875 	1973019 	1970956 	1936917 b	1927495 ep	1920807 ep	1913818 
A,NR,F,TOTAL,PL51	: 	1525869 	1529993 	1534484 	1537691 	1541424 	1542488 	1542293 	1542278 	1541668 	1512984 	1511411 	1510860 	1508732 	1505969 	1503734 	1501985 	1499826 	1498947 	1498743 	1491913 b	1492842 	1492265 	1491196 	1488280 	1487805 	1486007 	1486863 	1486471 	1486048 	1485771 	1467570 b	1461977 ep	1458065 ep	1453882 
A,NR,F,TOTAL,PL52	: 	555634 	557249 	558924 	559364 	559629 	558649 	558526 	558099 	557466 	552029 	550317 	548576 	546170 	543810 	542017 	540212 	537972 	535860 	533982 	503242 b	501974 	500207 	498256 	494882 	493190 	490700 	489595 	488404 	486971 	485185 	469347 b	465518 ep	462742 ep	459936 
A,NR,F,TOTAL,PL6	: 	2861452 	2875682 	2890828 	2903257 	2913969 	2921360 	2928956 	2935790 	2942522 	2907032 	2911981 	2917169 	2920040 	2923235 	2926946 	2930298 	2932688 	2937367 	2943667 	2942918 b	2948930 	2951856 	2953575 	2952047 	2953350 	2952921 	2955265 	2958625 	2959729 	2960341 	2870103 b	2858597 ep	2850069 ep	2841467 
A,NR,F,TOTAL,PL61	: 	1062094 	1065576 	1070447 	1073620 	1076334 	1077732 	1079128 	1080266 	1081254 	1069388 	1068703 	1069749 	1069577 	1068835 	1069310 	1069577 	1069096 	1069475 	1070633 	1069209 b	1069697 	1069303 	1068231 	1066152 	1064989 	1063125 	1062584 	1061781 	1059470 	1057094 	1015780 b	1008825 ep	1003177 ep	997661 
A,NR,F,TOTAL,PL62	: 	719236 	723529 	728998 	732607 	735958 	737889 	740470 	742444 	744293 	727602 	729648 	730139 	730250 	730938 	731094 	731283 	730947 	731116 	731721 	728710 b	728747 	728131 	727579 	725374 	723948 	722161 	720243 	719354 	717470 	714705 	676653 b	671396 ep	667526 ep	663397 
A,NR,F,TOTAL,PL63	: 	1080122 	1086577 	1091383 	1097030 	1101677 	1105739 	1109358 	1113080 	1116975 	1110042 	1113630 	1117281 	1120213 	1123462 	1126542 	1129438 	1132645 	1136776 	1141313 	1144999 b	1150486 	1154422 	1157765 	1160521 	1164413 	1167635 	1172438 	1177490 	1182789 	1188542 	1177670 b	1178376 ep	1179366 ep	1180409 
A,NR,F,TOTAL,PL7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1948946 	1941664 	1933440 	1927157 	1919716 	1911819 	1902338 	1837930 b	1821142 ep	1807954 ep	1794998 
A,NR,F,TOTAL,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1307796 	1303013 	1297450 	1293251 	1288715 	1283714 	1278106 	1245166 b	1234080 ep	1225533 ep	1217298 
A,NR,F,TOTAL,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	641150 	638651 	635990 	633906 	631001 	628105 	624232 	592764 b	587062 ep	582421 ep	577700 
A,NR,F,TOTAL,PL8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2759142 	2753921 	2747976 	2744699 	2740021 	2734478 	2727383 	2596021 b	2576776 ep	2564215 ep	2551338 
A,NR,F,TOTAL,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1099393 	1095502 	1091555 	1088767 	1084874 	1080649 	1075916 	1022422 b	1012581 ep	1005698 ep	998702 
A,NR,F,TOTAL,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1062860 	1063108 	1062743 	1063202 	1063495 	1063578 	1062535 	1010979 b	1005696 ep	1002539 ep	999054 
A,NR,F,TOTAL,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	596889 	595311 	593678 	592730 	591652 	590251 	588932 	562620 b	558499 ep	555978 ep	553582 
A,NR,F,TOTAL,PL9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2759439 	2768325 	2775446 	2785351 	2794418 	2804591 	2815355 	2852406 b	2851366 ep	2851564 ep	2851016 
A,NR,F,TOTAL,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1560800 	1572791 	1583084 	1594979 	1606162 	1620066 	1634748 	1710982 b	1717923 ep	1724100 ep	1729318 
A,NR,F,TOTAL,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1198639 	1195534 	1192362 	1190372 	1188256 	1184525 	1180607 	1141424 b	1133443 ep	1127464 ep	1121698 
A,NR,F,TOTAL,PT	5176677 	5163888 	5154852 	5158868 	5169497 	5186730 	5203747 	5223673 	5248376 	5274465 	5304872 	5344316 	5375295 	5407252 	5425721 	5440950 	5453175 	5468193 	5483592 	5496775 	5509734 	5519178 	5520561 	5500595 	5478747 	5460453 	5449089 	5436542 	5433139 	5434882 	5448405 	5451426 	5453855 	5495973 	5556158 
A,NR,F,TOTAL,PT1	: 	4879150 	4897365 	4902463 	4914903 	4933337 	4951495 	4972383 	4997668 	5023936 	5054063 	5092799 	5121617 	5151404 	5168190 	5181936 	5192706 	5206274 	5220093 	5232023 	5243829 	5252380 	5253550 	5235130 	5214989 	5199589 	5190248 	5179372 	5177338 	5180084 	5193929 	5196201 	5197546 	5238468 	5297143 
A,NR,F,TOTAL,PT11	: 	1817940 	1815595 	1820355 	1828299 	1837336 	1845985 	1855471 	1865697 	1876407 	1887677 	1901108 	1908265 	1916022 	1919556 	1922216 	1923580 	1925703 	1926821 	1926650 	1926443 	1924739 	1924221 	1915798 	1908873 	1900094 	1893933 	1887272 	1885480 	1885310 	1886908 	1887143 	1886856 	1897118 	1914014 
A,NR,F,TOTAL,PT15	: 	175900 	176223 	177751 	179550 	181719 	183871 	186286 	189037 	191730 	194820 	198468 	202438 	206574 	209657 	212407 	215223 	218128 	221423 	224700 	227955 	231159 	232306 	232435 	232205 	232649 	234080 	235023 	236146 	237942 	240742 	242026 	241516 	246249 	249079 
A,NR,F,TOTAL,PT16	: 	: 	1178767 	1178471 	1180486 	1184100 	1187609 	1191631 	1196465 	1201551 	1207281 	1215029 	1218214 	1221148 	1221380 	1221692 	1220989 	1221161 	1221008 	1220237 	1219496 	1218088 	1220109 	1211602 	1202764 	1194162 	1186711 	1180031 	1174497 	1170761 	1170470 	1173756 	1176313 	1181596 	: 
A,NR,F,TOTAL,PT17	: 	: 	1324222 	1324652 	1326384 	1330643 	1335259 	1341119 	1348849 	1357165 	1367606 	1381201 	1395615 	1410373 	1421014 	1429351 	1437562 	1446539 	1456728 	1467262 	1477545 	1487171 	1487036 	1488953 	1488041 	1492655 	1498816 	1503866 	1511099 	1518805 	1530288 	1527427 	1525710 	1545203 	: 
A,NR,F,TOTAL,PT18	: 	: 	402558 	401234 	400184 	399539 	398771 	397876 	397620 	397083 	396679 	396993 	397085 	397287 	396583 	396270 	395352 	394743 	394113 	393174 	392390 	391223 	389878 	386342 	383106 	380029 	376708 	373180 	370116 	367266 	365521 	365849 	367151 	368302 	: 
A,NR,F,TOTAL,PT19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	873695 	884448 
A,NR,F,TOTAL,PT1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1112200 	1126245 
A,NR,F,TOTAL,PT1B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	433003 	438616 
A,NR,F,TOTAL,PT1C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	241423 	242338 
A,NR,F,TOTAL,PT1D	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	434780 	442403 
A,NR,F,TOTAL,PT2	: 	122060 	121547 	121612 	121497 	121518 	121546 	121613 	121625 	121717 	121924 	122124 	122548 	122999 	123344 	123645 	123974 	124273 	124648 	124893 	125130 	125239 	125559 	125217 	124704 	123928 	123270 	122690 	122189 	121697 	121261 	121522 	122171 	122839 	123389 
A,NR,F,TOTAL,PT20	: 	122060 	121547 	121612 	121497 	121518 	121546 	121613 	121625 	121717 	121924 	122124 	122548 	122999 	123344 	123645 	123974 	124273 	124648 	124893 	125130 	125239 	125559 	125217 	124704 	123928 	123270 	122690 	122189 	121697 	121261 	121522 	122171 	122839 	123389 
A,NR,F,TOTAL,PT3	: 	137280 	135940 	134793 	133097 	131875 	130706 	129677 	129083 	128812 	128885 	129393 	131130 	132849 	134187 	135369 	136495 	137646 	138851 	139859 	140775 	141559 	141452 	140248 	139054 	136936 	135571 	134480 	133612 	133101 	133215 	133703 	134138 	134666 	135626 
A,NR,F,TOTAL,PT30	: 	137280 	135940 	134793 	133097 	131875 	130706 	129677 	129083 	128812 	128885 	129393 	131130 	132849 	134187 	135369 	136495 	137646 	138851 	139859 	140775 	141559 	141452 	140248 	139054 	136936 	135571 	134480 	133612 	133101 	133215 	133703 	134138 	134666 	135626 
A,NR,F,TOTAL,RO	11760564 	11752489 	11596272 	11587514 	11579217 	11568996 	11548426 	11518907 	11499014 	11487412 	11475444 	11467093 	11169297 	11088602 	11036295 	10965209 	10905183 	10840507 	10586266 	10488417 	10414274 	10366110 	10318889 b	10258594 	10201259 	10163573 	10110852 	10041869 	9978614 	9914008 	9868177 e	9814072 	9802644 e	9790587 e	9796206 e
A,NR,F,TOTAL,RO1	2940818 	2917532 	2835209 	2835516 	2831379 	2827191 	2818136 	2811271 	2806606 	2801941 	2797777 	2795500 	2709209 	2703598 	2699185 	2695205 	2689388 	2685983 	2684144 	2684859 	2684208 	2683120 	2541644 b	2534068 	2524879 	2520695 	2513506 	2502725 	2493598 	2485570 	2481266 e	2472396 e	2461147 e	2465620 e	2472879 e
A,NR,F,TOTAL,RO11	1506791 	1503938 	1476042 	1472113 	1470250 	1467123 	1463214 	1459049 	1455372 	1453171 	1451877 	1449740 	1410701 	1405412 	1403109 	1404137 	1397070 	1398107 	1395968 	1395271 	1394995 	1394171 	1335600 b	1331039 	1326143 	1324123 	1320062 	1314712 	1309914 	1305427 	1302865 e	1298553 e	1295755 e	1297984 e	1301579 e
A,NR,F,TOTAL,RO12	1434027 	1413594 	1359167 	1363403 	1361129 	1360068 	1354922 	1352222 	1351234 	1348770 	1345900 	1345760 	1298508 	1298186 	1296076 	1291068 	1292318 	1287876 	1288176 	1289588 	1289213 	1288949 	1206044 b	1203029 	1198736 	1196572 	1193444 	1188013 	1183684 	1180143 	1178401 e	1173843 e	1165392 e	1167636 e	1171300 e
A,NR,F,TOTAL,RO2	3411448 	3425026 	3413137 	3395997 	3402479 	3403467 	3408665 	3405081 	3407593 	3414509 	3419506 	3425350 	3348860 	3347748 	3342909 	3338226 	3336073 	3328025 	3323165 	3319048 	3314034 	3306649 	2962754 b	2941384 	2925372 	2915405 	2898246 	2875714 	2853161 	2826396 	2810268 e	2790650 e	2847014 e	2838667 e	2835865 e
A,NR,F,TOTAL,RO21	1915597 	1919159 	1918933 	1903953 	1907572 	1909894 	1915136 	1913714 	1916927 	1923847 	1929438 	1934974 	1890369 	1892307 	1890761 	1887432 	1887574 	1883905 	1882271 	1880746 	1878424 	1874234 	1666738 b	1655322 	1648850 	1646781 	1640180 	1629828 	1619956 	1607050 	1599851 e	1591180 e	1633402 e	1631433 e	1632511 e
A,NR,F,TOTAL,RO22	1495851 	1505867 	1494204 	1492044 	1494907 	1493573 	1493529 	1491367 	1490666 	1490662 	1490068 	1490376 	1458491 	1455441 	1452148 	1450794 	1448499 	1444120 	1440894 	1438302 	1435610 	1432415 	1296016 b	1286062 	1276522 	1268624 	1258066 	1245886 	1233205 	1219346 	1210417 e	1199470 e	1213612 e	1207234 e	1203354 e
A,NR,F,TOTAL,RO3	3043081 	3054996 	3030622 	3036047 	3029363 	3026809 	3016159 	3003288 	2995176 	2987685 	2981162 	2974376 	2903492 	2894683 	2887680 	2883169 	2878531 	2878765 	2876266 	2875629 	2874555 	2871458 	2816202 b	2800406 	2783354 	2772211 	2759353 	2741591 	2727653 	2714050 	2700617 e	2688709 e	2674818 e	2672946 e	2677093 e
A,NR,F,TOTAL,RO31	1831433 	1815751 	1816091 	1805821 	1803519 	1797542 	1793766 	1786267 	1781870 	1777250 	1772343 	1771071 	1728860 	1722345 	1713462 	1708174 	1700365 	1692047 	1686021 	1680444 	1674835 	1668480 	1602419 b	1587665 	1572340 	1559733 	1544318 	1527502 	1506766 	1486828 	1471483 e	1455974 e	1463902 e	1453821 e	1449517 e
A,NR,F,TOTAL,RO32	1211648 	1239245 	1214531 	1230226 	1225844 	1229267 	1222393 	1217021 	1213306 	1210435 	1208819 	1203305 	1174632 	1172338 	1174218 	1174995 	1178166 	1186718 	1190245 	1195185 	1199720 	1202978 	1213783 b	1212741 	1211014 	1212478 	1215035 	1214089 	1220887 	1227222 	1229134 e	1232735 e	1210916 e	1219125 e	1227576 e
A,NR,F,TOTAL,RO4	2365217 	2354935 	2317914 	2319954 	2315996 	2311529 	2305466 	2299267 	2289639 	2283277 	2276999 	2271867 	2207736 	2199030 	2189643 	2180218 	2171081 	2161270 	2154139 	2146268 	2138296 	2129070 	1998289 b	1982736 	1967654 	1955262 	1939747 	1921839 	1904202 	1887992 	1876026 e	1862317 e	1819665 e	1813354 e	1810369 e
A,NR,F,TOTAL,RO41	1252189 	1250030 	1253563 	1244944 	1243762 	1240519 	1237362 	1233307 	1230071 	1226194 	1222478 	1220130 	1195919 	1189640 	1184198 	1178757 	1172760 	1164408 	1158028 	1151622 	1145736 	1139120 	1054982 b	1043467 	1033792 	1024909 	1013971 	1002312 	989796 	977780 	969454 e	961264 e	956923 e	951409 e	948037 e
A,NR,F,TOTAL,RO42	1113028 	1104905 	1064351 	1075010 	1072234 	1071010 	1068104 	1065960 	1059568 	1057083 	1054521 	1051737 	1011817 	1009390 	1005445 	1001461 	998321 	996862 	996111 	994646 	992560 	989950 	943307 b	939269 	933862 	930353 	925776 	919527 	914406 	910212 	906572 e	901053 e	862742 e	861945 e	862332 e
A,NR,F,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	3876555 	3865866 	3855284 	3854516 	3848217 	3837398 	3830529 	3814931 	3800809 	3784417 	3768404 	3753102 	3720624 b	3702229 	3684497 	3666896 	3649994 	3630114 	3611245 	3590852 	3570953 	3552066 	3525575 	3489070 	3411719 b	3392796 
A,NR,F,TOTAL,RS1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1851759 	1848069 	1844404 	1841588 	1833870 	1821769 	1781329 b	1776367 
A,NR,F,TOTAL,RS11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	889766 	891244 	893108 	895291 	894103 	890455 	887774 b	888066 
A,NR,F,TOTAL,RS12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	961993 	956825 	951296 	946297 	939767 	931314 	893555 b	888301 
A,NR,F,TOTAL,RS2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1759486 	1742783 	1726549 	1710478 	1691705 	1667301 	1630390 b	1616429 
A,NR,F,TOTAL,RS21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	988166 	979503 	971190 	962939 	953386 	940578 	921861 b	914818 
A,NR,F,TOTAL,RS22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	771320 	763280 	755359 	747539 	738319 	726723 	708529 b	701611 
A,NR,F,TOTAL,SE	4314958 	4346613 	4373497 	4397428 	4424155 	4460127 	4471425 	4474782 	4475712 	4478703 	4481308 	4490039 	4500683 	4513681 	4529014 	4545081 	4561202 	4589734 	4619006 	4652637 	4691668 	4725326 	4756021 	4789988 	4830507 	4875115 	4920051 	4981806 	5037580 	5087747 	5131775 	5156448 	5191619 	5223232 	5239188 
A,NR,F,TOTAL,SE1	1568534 	1580439 	1592247 	1604282 	1617743 	1633910 	1642906 	1650142 	1657828 	1665981 	1674144 	1684098 	1693431 	1701113 	1708780 	1716604 	1726124 	1741655 	1759582 	1779508 	1803552 	1824924 	1846124 	1868303 	1892293 	1915599 	1938829 	1966448 	1994848 	2020966 	2044938 	2057288 	2075494 	2092618 	2102536 
A,NR,F,TOTAL,SE11	839831 	845443 	851429 	858729 	866560 	877251 	885658 	894341 	903398 	913110 	922322 	931526 	938469 	943507 	948042 	953618 	961584 	974408 	988370 	1003464 	1021450 	1038143 	1055390 	1072220 	1089142 	1105440 	1120812 	1137480 	1155030 	1171614 	1187065 	1194315 	1205210 	1216497 	1223836 
A,NR,F,TOTAL,SE12	728703 	734996 	740818 	745553 	751183 	756659 	757248 	755801 	754430 	752871 	751822 	752572 	754962 	757606 	760738 	762986 	764540 	767247 	771212 	776044 	782102 	786781 	790734 	796083 	803151 	810159 	818017 	828968 	839818 	849352 	857873 	862973 	870284 	876121 	878700 
A,NR,F,TOTAL,SE2	1863115 	1878670 	1890536 	1900853 	1911808 	1929939 	1935363 	1936621 	1936729 	1937979 	1938620 	1943493 	1949352 	1957450 	1965743 	1974448 	1982230 	1995664 	2008337 	2022526 	2038118 	2050705 	2061686 	2073476 	2088301 	2107226 	2126790 	2154824 	2178827 	2201402 	2219920 	2232323 	2247745 	2262090 	2269669 
A,NR,F,TOTAL,SE21	399084 	401901 	403507 	404219 	405836 	408369 	408056 	406666 	405034 	403479 	401623 	400892 	400496 	400517 	401204 	401700 	401653 	402198 	403305 	404325 	405209 	405620 	405924 	407083 	408214 	410732 	414117 	419808 	423783 	427101 	429377 	431103 	433449 	435160 	434003 
A,NR,F,TOTAL,SE22	615365 	621059 	626237 	630462 	633955 	640861 	643550 	644535 	645418 	647017 	648245 	650722 	653667 	657438 	660568 	664530 	668485 	675166 	681725 	688954 	696761 	702712 	707520 	712153 	717639 	724928 	732130 	742095 	751811 	760512 	767923 	773389 	779967 	785398 	789345 
A,NR,F,TOTAL,SE23	848666 	855710 	860792 	866172 	872017 	880709 	883757 	885420 	886277 	887483 	888752 	891879 	895189 	899495 	903971 	908218 	912092 	918300 	923307 	929247 	936148 	942373 	948242 	954240 	962448 	971566 	980543 	992921 	1003233 	1013789 	1022620 	1027831 	1034329 	1041532 	1046321 
A,NR,F,TOTAL,SE3	883309 	887504 	890714 	892293 	894604 	896278 	893156 	888019 	881155 	874743 	868544 	862448 	857900 	855118 	854491 	854029 	852848 	852415 	851087 	850603 	849998 	849697 	848211 	848209 	849913 	852290 	854432 	860534 	863905 	865379 	866917 	866837 	868380 	868524 	866983 
A,NR,F,TOTAL,SE31	430865 	432831 	434206 	434305 	435016 	435624 	433841 	431153 	427484 	424468 	421795 	418954 	417018 	415560 	415261 	414536 	413911 	413590 	413323 	413351 	413454 	413400 	412618 	412715 	414005 	415631 	417252 	420998 	422788 	424141 	425219 	425156 	425893 	425870 	424418 
A,NR,F,TOTAL,SE32	197550 	198399 	198706 	198466 	198441 	198508 	197312 	195964 	194124 	192274 	190438 	188607 	187184 	186460 	186265 	186261 	185912 	185932 	185663 	185560 	185117 	184836 	184155 	183937 	183839 	184079 	184434 	185474 	185914 	185815 	185861 	185491 	185751 	185624 	184965 
A,NR,F,TOTAL,SE33	254894 	256274 	257802 	259522 	261147 	262146 	262003 	260902 	259547 	258001 	256311 	254887 	253698 	253098 	252965 	253232 	253025 	252893 	252101 	251692 	251427 	251461 	251438 	251557 	252069 	252580 	252746 	254062 	255203 	255423 	255837 	256190 	256736 	257030 	257600 
A,NR,F,TOTAL,SI	1028125 	1029716 	1028879 	1026965 	1024948 	1025102 	1022192 	1018355 	1016763 	1015117 	1016943 	1017352 	1019024 	1019446 	1019631 	1020538 	1021893 	1023395 	1023736 b	1028417 	1032869 	1035626 	1038765 	1039760 	1040211 	1040645 	1040855 	1040770 	1039839 	1042252 	1044795 	1049039 	1049485 	1053701 	1055520 
A,NR,F,TOTAL,SI0	1028125 	1029716 	1028879 	1026965 	1024948 	1025102 	1022192 	1018355 	1016763 	1015117 	1016943 	1017352 	1019024 	1019446 	1019631 	1020538 	1021893 	1023395 	1023736 b	1028417 	1032869 	1035626 	1038765 	1039760 	1040211 	1040645 	1040855 	1040770 	1039839 	1042252 	1044795 	1049039 	1049485 	1053701 	1055520 
A,NR,F,TOTAL,SI03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	557152 	556728 	556523 	556219 	556121 	552307 b	552123 	552946 	552779 	552982 	551161 	548886 	548110 	547142 	546169 	544764 	544425 	544791 	545969 	545634 	546846 	547616 
A,NR,F,TOTAL,SI04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	462294 	462903 	464015 	465674 	467274 	471429 b	476294 	479923 	482847 	485783 	488599 	491325 	492535 	493713 	494601 	495075 	497827 	500004 	503070 	503851 	506855 	507904 
